date,open,high,low,close,volume,factor
2023-11-28,19.31,19.47,18.84,19.41,178738.0,1.0
2023-11-29,19.27,19.76,19.27,19.49,148799.0,1.0
2023-11-30,19.52,19.52,19.02,19.26,118812.0,1.0
2023-12-01,19.26,19.85,19.14,19.69,165267.0,1.0
2023-12-04,19.75,19.79,19.32,19.58,171871.0,1.0
2023-12-05,19.51,19.57,18.8,18.8,165629.0,1.0
2023-12-06,18.79,19.0,18.66,18.7,124631.0,1.0
2023-12-07,18.63,19.14,18.63,18.95,125728.0,1.0
2023-12-08,19.1,20.26,19.0,19.88,364993.0,1.0
2023-12-11,19.71,19.72,19.0,19.7,241854.0,1.0
2023-12-12,19.64,19.75,19.29,19.45,152656.0,1.0
2023-12-13,19.39,19.62,19.3,19.31,124678.0,1.0
2023-12-14,19.52,19.89,19.25,19.25,173389.0,1.0
2023-12-15,19.27,19.39,18.87,18.97,136112.0,1.0
2023-12-18,18.87,18.93,18.5,18.54,111521.0,1.0
2023-12-19,18.56,18.71,18.3,18.52,138269.0,1.0
2023-12-20,18.65,18.65,18.06,18.06,126262.0,1.0
2023-12-21,17.93,18.41,17.78,18.18,143792.0,1.0
2023-12-22,18.2,18.27,17.71,17.8,134677.0,1.0
2023-12-25,17.82,18.04,17.71,17.87,92794.0,1.0
2023-12-26,17.88,17.92,17.3,17.45,109000.0,1.0
2023-12-27,17.45,17.76,17.4,17.6,89877.0,1.0
2023-12-28,17.59,18.04,17.44,17.9,141843.0,1.0
2023-12-29,17.89,18.6,17.89,18.45,190536.0,1.0
2024-01-02,18.5,18.62,18.21,18.23,119039.0,1.0
2024-01-03,18.2,18.23,17.48,17.63,161376.0,1.0
2024-01-04,17.67,17.67,17.33,17.43,84731.0,1.0
2024-01-05,17.44,17.55,16.8,16.89,132426.0,1.0
2024-01-08,16.88,16.95,16.5,16.53,147994.0,1.0
2024-01-09,16.99,17.55,16.77,16.89,207063.0,1.0
2024-01-10,16.8,16.99,16.35,16.57,138546.0,1.0
2024-01-11,16.51,17.22,16.43,17.09,144757.0,1.0
2024-01-12,17.03,17.19,16.64,16.68,154408.0,1.0
2024-01-15,16.6,17.02,16.51,16.76,136906.0,1.0
2024-01-16,16.73,16.84,16.28,16.59,154644.0,1.0
2024-01-17,16.69,16.87,16.22,16.23,130565.0,1.0
2024-01-18,16.09,16.63,15.9,16.61,183926.0,1.0
2024-01-19,16.6,17.18,16.52,16.52,214905.0,1.0
2024-01-22,16.99,17.25,15.82,15.86,255111.0,1.0
2024-01-23,15.7,16.73,15.7,16.49,257245.0,1.0
2024-01-24,17.32,17.51,16.07,16.89,314609.0,1.0
2024-01-25,16.88,18.07,16.39,18.0,503264.0,1.0
2024-01-26,17.8,18.08,17.25,17.35,366014.0,1.0
2024-01-29,17.39,17.39,15.89,15.9,350966.0,1.0
2024-01-30,15.96,16.27,15.36,15.42,170068.0,1.0
2024-01-31,15.3,15.69,14.81,14.84,208778.0,1.0
2024-02-01,14.66,16.24,14.4,15.78,325499.0,1.0
2024-02-02,15.75,16.38,14.65,15.04,270433.0,1.0
2024-02-05,15.04,15.66,13.86,14.99,328502.0,1.0
2024-02-06,14.6,16.76,14.56,16.57,358631.0,1.0
2024-02-07,16.53,17.33,16.41,16.96,326120.0,1.0
2024-02-08,17.07,18.99,16.98,17.55,398250.0,1.0
2024-02-19,18.68,20.94,18.35,20.46,733652.0,1.0
2024-02-20,19.91,20.14,19.46,19.78,469677.0,1.0
2024-02-21,19.07,19.65,18.86,19.11,407934.0,1.0
2024-02-22,19.9,20.75,19.72,20.33,562685.0,1.0
2024-02-23,21.1,21.45,20.06,20.68,609306.0,1.0
2024-02-26,20.1,20.55,19.7,20.2,403135.0,1.0
2024-02-27,19.98,22.5,19.9,22.43,798242.0,1.0
2024-02-28,22.07,22.48,20.46,20.6,638977.0,1.0
2024-02-29,20.53,22.0,20.53,21.73,412525.0,1.0
2024-03-01,22.1,23.23,21.87,23.05,651821.0,1.0
2024-03-04,24.5,26.28,23.98,25.18,841839.0,1.0
2024-03-05,24.61,25.86,24.15,24.5,662583.0,1.0
2024-03-06,24.3,24.45,23.66,23.94,358296.0,1.0
2024-03-07,24.28,25.23,23.95,23.95,446306.0,1.0
2024-03-08,24.56,26.79,24.1,26.57,640758.0,1.0
2024-03-11,25.5,26.49,25.0,26.3,536300.0,1.0
2024-03-12,25.82,26.09,24.58,25.42,461704.0,1.0
2024-03-13,26.05,27.94,25.31,26.75,663107.0,1.0
2024-03-14,26.01,26.88,25.6,26.02,394432.0,1.0
2024-03-15,25.79,27.45,25.3,27.25,466798.0,1.0
2024-03-18,27.15,28.39,26.89,27.16,484056.0,1.0
2024-03-19,26.73,27.16,26.3,26.6,313996.0,1.0
2024-03-20,26.5,27.28,25.9,26.12,329950.0,1.0
2024-03-21,26.11,26.48,25.52,25.58,297896.0,1.0
2024-03-22,25.81,26.11,25.28,25.4,298118.0,1.0
2024-03-25,25.69,25.79,24.11,24.23,396960.0,1.0
2024-03-26,24.6,25.04,23.96,24.21,428281.0,1.0
2024-03-27,23.85,24.22,22.97,23.6,417216.0,1.0
